latitude,longitude,gid,config
41.29,-71.86,0,default
41.29,-71.82,1,default
41.25,-71.82,2,default
41.33,-71.82,3,default
41.41,-71.82,5,default
41.13,-71.78,6,default
41.17,-71.78,7,default
41.09,-71.78,8,default
41.01,-71.78,9,default
41.21,-71.78,10,default
41.41,-71.78,11,default
41.05,-71.78,12,default
41.89,-71.78,13,default
41.85,-71.78,14,default
41.37,-71.78,15,default
41.25,-71.78,16,default
41.69,-71.78,17,default
41.97,-71.78,18,default
41.93,-71.78,19,default
41.57,-71.78,20,default
40.97,-71.78,21,default
40.93,-71.78,22,default
40.89,-71.78,23,default
41.29,-71.78,24,default
41.61,-71.78,25,default
41.65,-71.78,26,default
41.53,-71.78,27,default
41.33,-71.78,28,default
41.81,-71.78,29,default
41.45,-71.78,30,default
41.49,-71.78,31,default
41.77,-71.78,32,default
41.73,-71.78,33,default
41.29,-71.74,34,default
41.01,-71.74,35,default
41.65,-71.74,36,default
40.93,-71.74,37,default
41.93,-71.74,38,default
41.53,-71.74,39,default
41.97,-71.74,40,default
40.97,-71.74,41,default
40.89,-71.74,42,default
41.49,-71.74,43,default
41.61,-71.74,44,default
41.57,-71.74,45,default
41.45,-71.74,46,default
42.01,-71.74,47,default
41.81,-71.74,48,default
41.77,-71.74,49,default
41.25,-71.74,50,default
41.33,-71.74,51,default
41.89,-71.74,52,default
41.85,-71.74,53,default
41.37,-71.74,54,default
41.73,-71.74,55,default
41.13,-71.74,56,default
41.17,-71.74,57,default
41.21,-71.74,58,default
41.69,-71.74,59,default
41.41,-71.74,60,default
41.05,-71.74,61,default
41.09,-71.74,62,default
41.45,-71.7,63,default
41.41,-71.7,64,default
41.37,-71.7,65,default
41.29,-71.7,66,default
41.73,-71.7,67,default
41.61,-71.7,68,default
41.97,-71.7,69,default
40.93,-71.7,70,default
41.93,-71.7,71,default
40.97,-71.7,72,default
41.57,-71.7,73,default
41.53,-71.7,74,default
41.09,-71.7,75,default
41.01,-71.7,76,default
41.85,-71.7,77,default
41.89,-71.7,78,default
42.01,-71.7,79,default
41.05,-71.7,80,default
41.49,-71.7,81,default
41.77,-71.7,82,default
41.81,-71.7,83,default
41.21,-71.7,84,default
41.13,-71.7,85,default
41.17,-71.7,86,default
41.69,-71.7,87,default
41.33,-71.7,88,default
41.25,-71.7,89,default
41.65,-71.7,90,default
41.29,-71.66,91,default
41.49,-71.66,92,default
41.33,-71.66,93,default
41.85,-71.66,94,default
41.25,-71.66,95,default
41.89,-71.66,96,default
41.45,-71.66,97,default
41.61,-71.66,98,default
41.41,-71.66,99,default
